;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Alberto Moleiro;es ESP;MF;Villarreal;21;2003;37;30;2,478;27.5;10;5;15;10;0;0;4;0;0.36;0.18;0.54;0.36;0.54;0.36;1.67;0.73;43.5;1.67;0.73;0.22;0.50;0.00;0.00
Nahuel Molina;ar ARG;DF,MF;Atlético Madrid;27;1998;26;13;1,331;14.8;2;2;4;2;0;0;4;0;0.14;0.14;0.27;0.14;0.27;0.14;0.95;0.27;28.6;0.95;0.27;0.14;0.50;0.00;0.00
Jon Moncayola;es ESP;MF;Osasuna;27;1998;36;35;3,016;33.5;0;4;4;0;0;0;9;0;0.00;0.12;0.12;0.00;0.12;0.00;0.69;0.15;21.7;0.69;0.15;0.00;0.00;0.00;0.00
Jano Monserrate;es ESP;MF;Atlético Madrid;19;2006;2;0;23;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;3.33;3.33;100.0;3.91;3.91;0.00;0.00;0.00;0.00
Jorge Montes;es ESP;DF;Getafe;21;2004;1;0;27;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Diego Morcillo;es ESP;FW;Alavés;22;2003;1;0;10;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.0;9.00;0.00;0.00;;0.00;0.00
Javi Morcillo;es ESP;MF;Atlético Madrid;19;2006;5;1;172;1.9;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;1.05;0.00;0.0;1.05;0.00;0.00;;0.00;0.00
Álex Moreno;es ESP;DF;Girona;32;1993;31;28;2,559;28.4;0;3;3;0;0;0;5;0;0.00;0.11;0.11;0.00;0.11;0.00;0.60;0.18;29.4;0.60;0.18;0.00;0.00;0.00;0.00
Gerard Moreno;es ESP;FW;Villarreal;33;1992;22;16;1,343;14.9;10;0;10;7;3;3;0;0;0.67;0.00;0.67;0.47;0.47;0.67;2.62;1.07;41.0;2.61;1.07;0.26;0.63;0.20;0.20
Matias Moreno;ar ARG;DF;Levante;21;2003;28;27;2,252;25.0;0;0;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.00;0.0;0.40;0.00;0.00;;0.00;0.00
Tete Morente;es ESP;MF;Elche;28;1996;13;11;929;10.3;1;1;2;1;0;0;1;0;0.10;0.10;0.19;0.10;0.19;0.10;0.78;0.10;12.5;0.78;0.10;0.13;1.00;0.00;0.00
Mateu Morey;es ESP;DF,MF;Mallorca;25;2000;18;9;704;7.8;1;0;1;1;0;0;2;0;0.13;0.00;0.13;0.13;0.13;0.13;0.51;0.26;50.0;0.51;0.26;0.25;0.50;0.00;0.00
Ilaix Moriba;gn GUI;MF;Celta Vigo;22;2003;36;26;2,495;27.7;2;3;5;2;0;0;8;0;0.07;0.11;0.18;0.07;0.18;0.07;0.65;0.18;27.8;0.65;0.18;0.11;0.40;0.00;0.00
Manu Morlanes;es ESP;MF;Mallorca;26;1999;32;22;1,765;19.6;3;0;3;3;0;0;5;1;0.15;0.00;0.15;0.15;0.15;0.15;0.66;0.20;30.8;0.66;0.20;0.23;0.75;0.00;0.00
Raúl Moro;es ESP;MF;Osasuna;22;2002;14;7;625;6.9;0;2;2;0;0;0;0;0;0.00;0.29;0.29;0.00;0.29;0.00;0.87;0.00;0.0;0.86;0.00;0.00;;0.00;0.00
Santiago Mouriño;uy URU;DF;Villarreal;23;2002;28;27;2,377;26.4;1;2;3;1;0;0;11;1;0.04;0.08;0.11;0.04;0.11;0.04;0.57;0.11;20.0;0.57;0.11;0.07;0.33;0.00;0.00
Abdul Mumin;gh GHA;DF;Rayo Vallecano;27;1998;3;1;79;0.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Aihen Muñoz;es ESP;DF;Real Sociedad;27;1997;21;9;848;9.4;1;0;1;1;0;0;1;0;0.11;0.00;0.11;0.11;0.11;0.11;0.64;0.21;33.3;0.64;0.21;0.17;0.50;0.00;0.00
Iker Muñoz;es ESP;MF;Osasuna;22;2002;19;8;952;10.6;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.85;0.38;44.4;0.85;0.38;0.00;0.00;0.00;0.00
Javier Muñoz;es ESP;MF,FW;Getafe;30;1995;17;4;551;6.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.13;0.98;46.2;2.12;0.98;0.00;0.00;0.00;0.00
Víctor Muñoz;es ESP;MF,FW;Osasuna;22;2003;34;31;2,656;29.5;6;2;8;6;0;0;3;0;0.20;0.07;0.27;0.20;0.27;0.20;2.75;1.05;38.3;2.74;1.05;0.07;0.19;0.00;0.00
Vedat Muriqi;xk KVX;FW;Mallorca;31;1994;37;36;3,128;34.8;23;1;24;18;5;7;4;1;0.66;0.03;0.69;0.52;0.55;0.66;3.28;1.44;43.9;3.28;1.44;0.20;0.46;0.14;0.20
Juan Musso;ar ARG;GK;Atlético Madrid;31;1994;8;8;720;8.0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Natan;br BRA;DF;Real Betis;24;2001;33;32;2,807;31.2;0;0;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.03;10.0;0.32;0.03;0.00;0.00;0.00;0.00
Pau Navarro;es ESP;DF;Villarreal;20;2005;23;23;1,921;21.3;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;100.0;0.09;0.09;0.00;0.00;0.00;0.00
Roberto Navarro;es ESP;MF;Athletic Club;23;2002;32;10;1,307;14.5;6;1;7;6;0;0;1;0;0.41;0.07;0.48;0.41;0.48;0.41;1.45;0.69;47.6;1.45;0.69;0.29;0.60;0.00;0.00
Martim Neto;pt POR;MF;Elche;22;2003;25;15;1,347;15.0;2;5;7;2;0;0;3;0;0.13;0.33;0.47;0.13;0.47;0.13;0.80;0.27;33.3;0.80;0.27;0.17;0.50;0.00;0.00
Yvan Neyou;cm CMR;MF;Getafe;28;1997;5;0;67;0.7;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Cyril Ngonge;be BEL;MF;Espanyol;25;2000;9;6;424;4.7;0;2;2;0;0;0;4;0;0.00;0.42;0.42;0.00;0.42;0.00;2.34;0.85;36.4;2.33;0.85;0.00;0.00;0.00;0.00
Tanguy Nianzou;fr FRA;DF;Sevilla;23;2002;12;8;655;7.3;0;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.00;1.23;0.00;0.0;1.24;0.00;0.00;;0.00;0.00
Randy Nteka;ao ANG;FW;Rayo Vallecano;27;1997;13;3;374;4.2;3;0;3;3;0;1;3;0;0.72;0.00;0.72;0.72;0.72;0.71;3.10;1.43;46.2;3.13;1.44;0.23;0.50;0.00;0.24
Álvaro Núñez;es ESP;DF,MF;Celta Vigo;25;2000;6;5;328;3.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.0;0.22;0.00;0.00;;0.00;0.00
Álvaro Núñez;es ESP;DF,MF;Elche;25;2000;19;19;1,647;18.3;0;2;2;0;0;0;2;0;0.00;0.11;0.11;0.00;0.11;0.00;0.56;0.28;50.0;0.55;0.27;0.00;0.00;0.00;0.00
Unai Núñez;es ESP;DF;Valencia;28;1997;13;10;911;10.1;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.89;0.10;11.1;0.89;0.10;0.00;0.00;0.00;0.00
Ørjan Nyland;no NOR;GK;Sevilla;34;1990;5;5;450;5.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Allan Nyom;cm CMR;DF;Getafe;37;1988;15;7;523;5.8;0;1;1;0;0;0;6;1;0.00;0.17;0.17;0.00;0.17;0.00;0.52;0.17;33.3;0.52;0.17;0.00;0.00;0.00;0.00
Jan Oblak;si SVN;GK;Atlético Madrid;32;1993;30;30;2,7;30.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Job Ochieng';ke KEN;MF;Real Sociedad;22;2003;2;1;93;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.0;0.97;0.00;0.00;;0.00;0.00
Álvaro Odriozola;es ESP;DF;Real Sociedad;29;1995;5;2;201;2.2;1;0;1;1;0;0;0;0;0.45;0.00;0.45;0.45;0.45;0.45;0.45;0.45;100.0;0.45;0.45;1.00;1.00;0.00;0.00
Javier Olaizola;es ESP;DF;Mallorca;18;2007;2;0;51;0.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Olasagasti;es ESP;MF;Levante;24;2000;33;18;1,734;19.3;1;5;6;1;0;0;2;1;0.05;0.26;0.31;0.05;0.31;0.05;1.45;0.47;32.1;1.45;0.47;0.04;0.11;0.00;0.00
Dani Olmo;es ESP;MF;Barcelona;27;1998;33;24;2,067;23.0;7;8;15;7;0;0;1;0;0.30;0.35;0.65;0.30;0.65;0.30;3.04;0.91;30.0;3.05;0.91;0.10;0.33;0.00;0.00
Tani Oluwaseyi;ca CAN;FW;Villarreal;25;2000;27;9;901;10.0;2;2;4;2;0;0;1;0;0.20;0.20;0.40;0.20;0.40;0.20;1.60;0.70;43.8;1.60;0.70;0.13;0.29;0.00;0.00
Luis Orejuela;;DF;Mallorca;;;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.0;1.00;0.00;0.00;;0.00;0.00
Aimar Oroz;es ESP;MF,FW;Osasuna;23;2001;31;26;2,139;23.8;0;2;2;0;0;0;6;0;0.00;0.08;0.08;0.00;0.08;0.00;1.22;0.17;13.8;1.22;0.17;0.00;0.00;0.00;0.00
Ángel Ortíz;es ESP;DF;Real Betis;21;2004;13;7;584;6.5;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.0;0.15;0.00;0.00;;0.00;0.00
Asier Osambela;es ESP;DF;Osasuna;21;2004;17;2;343;3.8;1;0;1;1;0;0;1;1;0.26;0.00;0.26;0.26;0.26;0.26;1.58;0.79;50.0;1.57;0.79;0.17;0.33;0.00;0.00
Azzedine Ounahi;ma MAR;MF;Girona;25;2000;24;20;1,76;19.6;5;2;7;4;1;1;6;0;0.26;0.10;0.36;0.20;0.31;0.26;2.60;0.97;37.3;2.61;0.97;0.10;0.26;0.05;0.05
Mikel Oyarzabal;es ESP;FW;Real Sociedad;28;1997;34;30;2,71;30.1;15;4;19;8;7;7;3;0;0.50;0.13;0.63;0.27;0.40;0.50;2.62;1.20;45.6;2.62;1.20;0.19;0.42;0.23;0.23
Jon Pacheco;es ESP;DF;Alavés;24;2001;22;20;1,735;19.3;0;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.21;0.05;25.0;0.21;0.05;0.00;0.00;0.00;0.00
Alex Padilla;es ESP;GK;Athletic Club;21;2003;1;1;90;1.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
César Palacios;es ESP;MF;Real Madrid;20;2004;5;0;86;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.0;2.09;0.00;0.00;;0.00;0.00
Isaac Palazón Camacho;es ESP;MF,FW;Rayo Vallecano;30;1994;31;27;2,248;25.0;3;3;6;1;2;3;10;1;0.12;0.12;0.24;0.04;0.16;0.12;2.08;0.60;28.8;2.08;0.60;0.06;0.20;0.08;0.12
Diego Pampín;es ESP;DF;Levante;25;2000;8;6;534;5.9;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;0.0;0.51;0.00;0.00;;0.00;0.00
Victor Parada;es ESP;DF;Alavés;23;2002;30;25;2,146;23.8;0;3;3;0;0;0;9;1;0.00;0.13;0.13;0.00;0.13;0.00;0.50;0.13;25.0;0.50;0.13;0.00;0.00;0.00;0.00
Aitor Paredes;es ESP;DF;Athletic Club;25;2000;19;18;1,63;18.1;2;0;2;2;0;0;4;0;0.11;0.00;0.11;0.11;0.11;0.11;0.72;0.22;30.8;0.72;0.22;0.15;0.50;0.00;0.00
Daniel Parejo;es ESP;MF;Villarreal;36;1989;32;16;1,392;15.5;1;0;1;0;1;1;3;0;0.06;0.00;0.06;0.00;0.00;0.06;0.19;0.06;33.3;0.19;0.06;0.33;1.00;0.06;0.06
Thomas Partey;gh GHA;MF;Villarreal;32;1993;25;8;934;10.4;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.19;18.2;1.06;0.19;0.00;0.00;0.00;0.00
Alfonso Pedraza;es ESP;DF;Villarreal;29;1996;27;19;1,689;18.8;1;3;4;1;0;0;8;0;0.05;0.16;0.21;0.05;0.21;0.05;0.59;0.16;27.3;0.59;0.16;0.09;0.33;0.00;0.00
Pedri;es ESP;MF;Barcelona;22;2002;29;23;2,104;23.4;2;9;11;2;0;0;2;1;0.09;0.38;0.47;0.09;0.47;0.09;0.90;0.43;47.6;0.90;0.43;0.10;0.20;0.00;0.00
Adrià Pedrosa;es ESP;DF,MF;Elche;27;1998;26;8;1,09;12.1;1;1;2;1;0;0;4;0;0.08;0.08;0.17;0.08;0.17;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Adrià Pedrosa;es ESP;DF,MF;Sevilla;27;1998;1;0;6;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.08;0.99;0.25;25.0;0.99;0.25;0.08;0.33;0.00;0.00
Iñaki Peña;es ESP;GK;Elche;26;1999;16;16;1,44;16.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Nicolas Pépé;ci CIV;MF,FW;Villarreal;30;1995;36;26;2,393;26.6;8;8;16;7;1;1;4;0;0.30;0.30;0.60;0.26;0.56;0.30;2.37;0.94;39.7;2.37;0.94;0.13;0.32;0.04;0.04
Peque;es ESP;MF,FW;Sevilla;22;2002;26;12;982;10.9;2;1;3;2;0;0;7;0;0.18;0.09;0.27;0.18;0.27;0.18;1.38;0.55;40.0;1.37;0.55;0.13;0.33;0.00;0.00
Ángel Pérez;es ESP;MF,DF;Alavés;22;2002;16;14;1,288;14.3;1;3;4;1;0;0;4;0;0.07;0.21;0.28;0.07;0.28;0.07;0.98;0.28;28.6;0.98;0.28;0.07;0.25;0.00;0.00
Ayoze Pérez;es ESP;FW;Villarreal;32;1993;25;12;1,124;12.5;5;4;9;4;1;1;4;0;0.40;0.32;0.72;0.32;0.64;0.40;1.92;0.88;45.8;1.92;0.88;0.21;0.45;0.08;0.08
Francisco Perez;es ESP;MF,FW;Rayo Vallecano;22;2002;29;12;1,237;13.7;2;1;3;2;0;0;4;0;0.15;0.07;0.22;0.15;0.22;0.15;1.24;0.58;47.1;1.24;0.58;0.12;0.25;0.00;0.00
Joselu Pérez;es ESP;DF;Getafe;21;2004;2;0;22;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.0;4.09;0.00;0.00;;0.00;0.00
Nacho Pérez;es ESP;DF;Levante;16;2008;3;1;148;1.6;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Léo Pétrot;fr FRA;DF;Elche;28;1997;32;18;1,572;17.5;0;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.46;0.00;0.0;0.46;0.00;0.00;;0.00;0.00
Charles Pickel;cd COD;MF;Espanyol;28;1997;24;4;707;7.9;1;0;1;1;0;0;4;2;0.13;0.00;0.13;0.13;0.13;0.13;1.27;0.51;40.0;1.27;0.51;0.10;0.25;0.00;0.00
Thiago Pinar;es ESP;MF;Real Madrid;17;2007;10;8;592;6.6;0;2;2;0;0;0;2;0;0.00;0.30;0.30;0.00;0.30;0.00;0.91;0.30;33.3;0.91;0.30;0.00;0.00;0.00;0.00
Lander Pinillos;es ESP;MF;Alavés;21;2003;1;0;2;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Yéremy Pino;es ESP;MF;Villarreal;22;2002;2;2;159;1.8;0;1;1;0;0;0;0;0;0.00;0.57;0.57;0.00;0.57;0.00;1.11;0.56;50.0;1.13;0.57;0.00;0.00;0.00;0.00
Portu;es ESP;FW,MF;Girona;33;1992;10;4;474;5.3;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;1.70;0.94;55.6;1.71;0.95;0.00;0.00;0.00;0.00
Beñat Prados;es ESP;MF;Athletic Club;24;2001;2;1;85;0.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.0;1.06;0.00;0.00;;0.00;0.00
Abdón Prats;es ESP;FW;Mallorca;32;1992;15;0;143;1.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;3.13;1.25;40.0;3.15;1.26;0.00;0.00;0.00;0.00
Javi Puado;es ESP;MF,FW;Espanyol;27;1998;10;8;674;7.5;2;0;2;1;1;2;2;0;0.27;0.00;0.27;0.13;0.13;0.27;2.00;1.20;60.0;2.00;1.20;0.13;0.22;0.13;0.27
Marc Pubill;es ESP;DF;Atlético Madrid;22;2003;19;15;1,381;15.3;1;1;2;1;0;0;2;0;0.07;0.07;0.13;0.07;0.13;0.07;0.72;0.26;36.4;0.72;0.26;0.09;0.25;0.00;0.00
Aleksa Puric;rs SRB;DF;Atlético Madrid;22;2003;2;0;46;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Dani Raba;es ESP;FW;Valencia;29;1995;13;3;270;3.0;0;1;1;0;0;0;0;0;0.00;0.33;0.33;0.00;0.33;0.00;3.00;0.33;11.1;3.00;0.33;0.00;0.00;0.00;0.00
Ionu? Radu;ro ROU;GK;Celta Vigo;28;1997;38;38;3,42;38.0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Ugo Raghouber;fr FRA;MF;Levante;22;2003;16;8;706;7.8;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.0;0.38;0.00;0.00;;0.00;0.00
Antonio Raillo;es ESP;DF;Mallorca;33;1991;24;23;2,07;23.0;0;1;1;0;0;0;4;0;0.00;0.04;0.04;0.00;0.04;0.00;0.52;0.04;8.3;0.52;0.04;0.00;0.00;0.00;0.00
Largie Ramazani;be BEL;MF,FW;Valencia;24;2001;27;11;1,234;13.7;6;1;7;3;3;3;4;0;0.44;0.07;0.51;0.22;0.29;0.44;3.72;1.39;37.3;3.72;1.39;0.12;0.32;0.22;0.22
Raphinha;br BRA;MF,FW;Barcelona;28;1996;22;18;1,38;15.3;13;3;16;10;3;3;5;0;0.85;0.20;1.04;0.65;0.85;0.85;4.25;1.57;36.9;4.24;1.57;0.20;0.54;0.20;0.20
Marcus Rashford;eng ENG;MF,FW;Barcelona;27;1997;32;18;1,763;19.6;8;7;15;8;0;0;3;0;0.41;0.36;0.77;0.41;0.77;0.41;3.88;1.48;38.2;3.88;1.48;0.11;0.28;0.00;0.00
Giacomo Raspadori;it ITA;FW;Atlético Madrid;25;2000;12;1;236;2.6;0;1;1;0;0;0;1;0;0.00;0.38;0.38;0.00;0.38;0.00;2.69;1.15;42.9;2.67;1.14;0.00;0.00;0.00;0.00
Andrei Ratiu;ro ROU;DF;Rayo Vallecano;27;1998;35;31;2,807;31.2;0;4;4;0;0;0;9;0;0.00;0.13;0.13;0.00;0.13;0.00;0.99;0.29;29.0;0.99;0.29;0.00;0.00;0.00;0.00
Raúl;es ESP;FW;Osasuna;24;2000;36;6;1,041;11.6;7;1;8;7;0;0;2;1;0.61;0.09;0.69;0.61;0.69;0.60;3.36;1.98;59.0;3.37;1.99;0.18;0.30;0.00;0.00
Abde Rebbach;dz ALG;MF,DF;Alavés;26;1998;30;15;1,496;16.6;1;4;5;1;0;0;8;0;0.06;0.24;0.30;0.06;0.30;0.06;2.05;0.72;35.3;2.05;0.72;0.03;0.08;0.00;0.00
Federico Redondo;ar ARG;MF;Elche;22;2003;11;1;179;2.0;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.0;0.50;0.00;0.00;;0.00;0.00
Alejandro Rego;es ESP;MF;Athletic Club;22;2003;29;11;1,279;14.2;1;1;2;1;0;0;6;0;0.07;0.07;0.14;0.07;0.14;0.07;0.85;0.21;25.0;0.84;0.21;0.08;0.33;0.00;0.00
Alberto Reina;es ESP;MF;Oviedo;27;1997;37;31;2,462;27.4;4;1;5;4;0;0;6;1;0.15;0.04;0.18;0.15;0.18;0.15;0.88;0.40;45.8;0.88;0.40;0.17;0.36;0.00;0.00
Vitor Reis;br BRA;DF;Girona;19;2006;36;35;3,138;34.9;1;1;2;1;0;0;9;1;0.03;0.03;0.06;0.03;0.06;0.03;0.54;0.11;21.1;0.54;0.11;0.05;0.25;0.00;0.00
Álex Remiro;es ESP;GK;Real Sociedad;30;1995;37;37;3,33;37.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Oriol Rey;es ESP;MF;Levante;27;1998;20;14;1,319;14.7;0;1;1;0;0;0;4;0;0.00;0.07;0.07;0.00;0.07;0.00;0.54;0.07;12.5;0.55;0.07;0.00;0.00;0.00;0.00
Diego Rico;es ESP;DF;Getafe;32;1993;28;18;1,758;19.5;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.56;0.05;9.1;0.56;0.05;0.00;0.00;0.00;0.00
Clemens Riedel;de GER;DF;Espanyol;22;2003;20;16;1,396;15.5;0;1;1;0;0;0;5;0;0.00;0.06;0.06;0.00;0.06;0.00;0.19;0.06;33.3;0.19;0.06;0.00;0.00;0.00;0.00
Hugo Rincón;es ESP;DF;Girona;22;2003;33;16;1,75;19.4;1;1;2;1;0;0;4;0;0.05;0.05;0.10;0.05;0.10;0.05;0.36;0.10;28.6;0.36;0.10;0.14;0.50;0.00;0.00
Luis Rioja;es ESP;MF;Valencia;31;1993;37;31;2,624;29.2;3;6;9;3;0;0;1;0;0.10;0.21;0.31;0.10;0.31;0.10;1.51;0.17;11.4;1.51;0.17;0.07;0.60;0.00;0.00
Rodrigo Riquelme;es ESP;MF;Real Betis;25;2000;25;7;821;9.1;1;1;2;1;0;0;2;0;0.11;0.11;0.22;0.11;0.22;0.11;2.64;0.77;29.2;2.63;0.77;0.04;0.14;0.00;0.00
Mihailo Risti?;rs SRB;MF,DF;Celta Vigo;29;1995;5;4;253;2.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.0;0.36;0.00;0.00;;0.00;0.00
Joel Roca;es ESP;MF,FW;Girona;20;2005;32;16;1,473;16.4;3;1;4;3;0;0;4;1;0.18;0.06;0.24;0.18;0.24;0.18;2.93;0.98;33.3;2.93;0.98;0.06;0.19;0.00;0.00
Marc Roca;es ESP;MF;Real Betis;28;1996;29;23;2,026;22.5;1;1;2;1;0;0;1;0;0.04;0.04;0.09;0.04;0.09;0.04;0.76;0.31;41.2;0.76;0.31;0.06;0.14;0.00;0.00
Álvaro Rodríguez;uy URU;FW;Elche;21;2004;34;24;2,201;24.5;7;5;12;7;0;0;2;0;0.29;0.20;0.49;0.29;0.49;0.29;3.06;0.98;32.0;3.07;0.98;0.09;0.29;0.00;0.00
Damián Rodríguez;es ESP;MF;Celta Vigo;22;2003;2;2;150;1.7;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.76;0.00;0.0;1.80;0.00;0.00;;0.00;0.00
Dani Rodríguez;es ESP;FW,MF;Mallorca;37;1988;2;0;68;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.25;0.00;0.0;1.32;0.00;0.00;;0.00;0.00
Guido Rodríguez;ar ARG;MF;Valencia;31;1994;16;14;1,309;14.5;4;0;4;4;0;0;4;0;0.28;0.00;0.28;0.28;0.28;0.28;1.03;0.34;33.3;1.03;0.34;0.27;0.80;0.00;0.00
Javi Rodríguez;es ESP;DF;Celta Vigo;22;2003;33;28;2,558;28.4;0;1;1;0;0;0;5;0;0.00;0.04;0.04;0.00;0.04;0.00;0.42;0.04;8.3;0.42;0.04;0.00;0.00;0.00;0.00
Ricardo Rodríguez;ch SUI;DF;Real Betis;32;1992;23;18;1,547;17.2;0;1;1;0;0;0;0;0;0.00;0.06;0.06;0.00;0.06;0.00;0.17;0.00;0.0;0.17;0.00;0.00;;0.00;0.00
Rodrygo;br BRA;MF,FW;Real Madrid;24;2001;19;6;684;7.6;1;3;4;1;0;0;3;0;0.13;0.39;0.53;0.13;0.53;0.13;3.55;1.45;40.7;3.55;1.45;0.04;0.09;0.00;0.00
Leo Román;es ESP;GK;Mallorca;25;2000;33;33;2,97;33.0;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Miguel Román;es ESP;MF;Celta Vigo;22;2002;19;14;1,311;14.6;1;0;1;1;0;0;3;0;0.07;0.00;0.07;0.07;0.07;0.07;0.62;0.14;22.2;0.62;0.14;0.11;0.50;0.00;0.00
Carlos Romero;es ESP;DF;Espanyol;23;2001;36;36;3,191;35.5;6;3;9;6;0;0;4;0;0.17;0.08;0.25;0.17;0.25;0.17;1.18;0.34;28.6;1.18;0.34;0.14;0.50;0.00;0.00
Isaac Romero;es ESP;FW,MF;Sevilla;25;2000;29;18;1,484;16.5;4;0;4;4;0;1;6;1;0.24;0.00;0.24;0.24;0.24;0.24;2.48;0.85;34.1;2.49;0.85;0.10;0.29;0.00;0.06
Iván Romero;es ESP;FW,MF;Levante;24;2001;32;28;2,259;25.1;7;1;8;7;0;1;5;0;0.28;0.04;0.32;0.28;0.32;0.28;2.35;0.72;30.5;2.35;0.72;0.12;0.39;0.00;0.04
Zaid Romero;ar ARG;DF;Getafe;25;1999;15;15;1,349;15.0;1;0;1;1;0;0;5;1;0.07;0.00;0.07;0.07;0.07;0.07;0.67;0.13;20.0;0.67;0.13;0.10;0.50;0.00;0.00
Salomón Rondón;ve VEN;FW;Oviedo;35;1989;16;13;1,032;11.5;2;0;2;2;0;1;2;0;0.17;0.00;0.17;0.17;0.17;0.17;2.09;0.43;20.8;2.09;0.44;0.08;0.40;0.00;0.09
Valentin Rosier;fr FRA;DF,MF;Osasuna;28;1996;31;30;2,547;28.3;1;1;2;1;0;0;6;1;0.04;0.04;0.07;0.04;0.07;0.04;0.67;0.11;15.8;0.67;0.11;0.05;0.33;0.00;0.00
