;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Dimitri Foulquier;fr FRA;DF;Valencia;32;1993;15;12;1,15;12.8;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.47;0.08;16.7;0.47;0.08;0.00;0.00;0.00;0.00
Juan Foyth;ar ARG;DF;Villarreal;27;1998;13;12;934;10.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.19;0.00;0.0;0.19;0.00;0.00;;0.00;0.00
Alejandro Francés;es ESP;DF;Girona;22;2002;24;11;1,116;12.4;0;2;2;0;0;0;2;1;0.00;0.16;0.16;0.00;0.16;0.00;1.29;0.32;25.0;1.29;0.32;0.00;0.00;0.00;0.00
Alex Freeman;us USA;DF;Villarreal;20;2004;9;3;346;3.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.0;0.26;0.00;0.00;;0.00;0.00
Jorge de Frutos;es ESP;FW,MF;Rayo Vallecano;28;1997;36;31;2,463;27.4;10;1;11;9;1;1;3;0;0.37;0.04;0.40;0.33;0.37;0.36;2.26;1.02;45.2;2.27;1.02;0.16;0.36;0.04;0.04
Javi Galán;es ESP;DF;Atlético Madrid;30;1994;5;1;134;1.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.05;16.7;0.32;0.05;0.00;0.00;0.00;0.00
Javi Galán;es ESP;DF;Osasuna;30;1994;20;19;1,672;18.6;0;1;1;0;0;0;3;0;0.00;0.05;0.05;0.00;0.05;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Iñigo Ruiz de Galarreta;es ESP;MF;Athletic Club;31;1993;34;30;2,206;24.5;1;2;3;1;0;0;10;0;0.04;0.08;0.12;0.04;0.12;0.04;0.82;0.08;10.0;0.82;0.08;0.05;0.50;0.00;0.00
Conor Gallagher;eng ENG;MF;Atlético Madrid;25;2000;19;4;679;7.5;2;0;2;2;0;0;2;0;0.27;0.00;0.27;0.27;0.27;0.27;1.73;0.67;38.5;1.72;0.66;0.15;0.40;0.00;0.00
Facundo Garcés;my MAS;DF;Alavés;25;1999;10;8;793;8.8;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.91;0.45;50.0;0.91;0.45;0.00;0.00;0.00;0.00
Álvaro García;es ESP;MF,FW;Rayo Vallecano;32;1992;32;23;2,101;23.3;4;5;9;4;0;0;3;0;0.17;0.21;0.39;0.17;0.39;0.17;2.02;0.82;40.4;2.01;0.81;0.09;0.21;0.00;0.00
Eder García;es ESP;FW;Athletic Club;21;2004;2;0;38;0.4;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;2.50;0.00;0.0;2.37;0.00;0.00;;0.00;0.00
Eric García;es ESP;DF,MF;Barcelona;24;2001;34;32;2,721;30.2;1;1;2;1;0;0;6;0;0.03;0.03;0.07;0.03;0.07;0.03;0.83;0.23;28.0;0.83;0.23;0.04;0.14;0.00;0.00
Fran Garcia;es ESP;DF,MF;Real Madrid;25;1999;13;10;929;10.3;1;1;2;1;0;0;2;1;0.10;0.10;0.19;0.10;0.19;0.10;0.58;0.19;33.3;0.58;0.19;0.17;0.50;0.00;0.00
Gonzalo García;es ESP;FW;Real Madrid;21;2004;30;9;964;10.7;6;1;7;6;0;0;2;0;0.56;0.09;0.65;0.56;0.65;0.56;1.96;1.03;52.4;1.96;1.03;0.29;0.55;0.00;0.00
